Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,KejsPower,21:33:244,01:45:312,12,20
2,Kowen,21:38:183,01:46:087,12,16
3,Kielkozaur,21:43:170,01:45:745,12,13
4,Anonim 4,21:50:632,01:47:808,12,11
5,Zdybix,22:02:735,01:48:192,12,9
6,Kill3rku,22:17:633,01:49:567,12,7
7,Chadeka90,22:30:575,01:49:522,12,5
8,Target XX,21:13:331,01:49:365,11,4
9,Drumefy,20:26:114,01:48:115,11,3
10,Khasithe,DNF,DNF,4,0
11,D. Krol,DNF,DNF,3,0
