Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,ChampOfHell94,21:00:990,01:44:025,12,20
2,KejsPower,21:11:271,01:45:075,12,16
3,D. Krol,21:17:367,01:44:817,12,13
4,Anonim 4,21:29:873,01:45:705,12,11
5,Sagxx,21:33:237,01:45:430,12,9
6,Slawek,21:38:437,01:46:322,12,7
7,Kowen,21:49:908,01:45:982,12,5
8,Zdybix,22:05:047,01:47:450,12,4
9,Chadeka90,22:13:965,01:48:905,12,3
10,Target XX,22:21:725,01:46:642,12,2
11,Chapsior,20:13:523,01:47:087,11,1
12,Drumefy,20:26:938,01:47:205,11,1
13,Kielkozaur,DNF,DNF,0,
