Pozycja,Kierowca,Łączny czas,Naj. okrążenie,Okrążenia,Punkty
1,Kielkozaur,20:53:146,01:52:975,11,20
2,ChampOfHell94,20:53:912,01:51:880,11,16
3,Piron,20:59:849,01:52:068,11,13
4,Anonim 4,21:25:195,01:55:281,11,11
5,Sagxx,21:25:915,01:54:885,11,9
6,THCMJ77,21:40:101,01:55:070,11,7
7,D. Krol,21:40:475,01:54:915,11,5
8,D3AR316,21:45:882,01:56:538,11,4
9,Kill3rku,21:46:417,01:55:467,11,3
10,Khasithe,21:54:427,01:55:227,11,2
11,Slawek,22:00:930,01:55:447,11,1
12,Zdybix,22:40:834,01:58:322,11,1
13,Target XX,22:42:995,01:58:797,11,1
14,Chadeka90,21:04:369,01:59:057,10,1
15,Chapsior,20:31:743,35791:23:647,10,1
