Pozycja,Kierowca,Punkty
1,ChampOfHell94,120
2,Sagxx,60
3,KejsPower,45
4,Kowen,40
5,Driu,31
6,Jakubczyk,29
7,Khasithe,28
8,Yachuu,26
9,Kielkozaur,21
10,Jedrysiak,16
11,Chadeka90,13
12,Wuja,13
13,Versoo,11
14,Zaryczanski,10
15,Kill3rku,10
16,Wyspa,9
17,Slawek,9
18,Krzysztof O,5
19,Drumefy,4
20,Zdybix,2
21,Peszkin,1
22,NIX,1
23,Sitek2453,1
24,Maciek81PL,0
25,dRk993,0
