Pozycja,Kierowca,Punkty
1,ChampOfHell94,271
2,KejsPower,155
3,D. Krol,138
4,Sagxx,123
5,Kowen,104
6,Kielkozaur,97
7,Target XX,73
8,Slawek,66
9,Khasithe,64
10,Piron,62
11,Dzonykirango,59
12,Anonim 4,56
13,Drumefy,53
14,Chadeka90,50
15,Kill3rku,43
16,Zdybix,39
17,Chapsior,24
18,D3AR316,23
19,THCMJ77,17
20,PlugawyDZO,6
21,Sitek2453,6
22,Peszkin,2
