Pozycja,Kierowca,Punkty
1,ChampOfHell94,20
2,Maciek81PL,16
3,Kowen,13
4,Dzonykirango,11
5,Kielkozaur,9
6,MateuszKaz,7
7,Peszkin,5
8,Ozie99PL,4
9,Sitek2453,3
10,D3AR316,2
11,Yachuu,1
12,Khasithe,1
13,Driu,1
14,Zdybix,1
15,Drumefy,1
16,Chadeka90,1
17,Bobas3344,1
18,DrLaktoza,1
19,Kufir_PL,1
20,JML_Pindzio,1
21,Chapsior,1
