File,Date
240908_211253_R.json,2024-10-07 17:02:00.200320
240911_194434_R.json,2024-10-07 17:02:00.205503
240911_201937_R.json,2024-10-07 17:02:00.207512
240918_200230_R.json,2024-10-07 17:02:00.209783
240918_203115_R.json,2024-10-07 17:02:00.211940
240922_211644_R.json,2024-10-07 17:02:00.215227
240925_194710_R.json,2024-10-07 17:02:00.219950
240925_202053_R.json,2024-10-07 17:02:00.222116
241002_211251_R.json,2024-10-07 17:02:00.224987
241002_214513_R.json,2024-10-07 17:02:00.227355
241006_211151_R.json,2024-10-07 17:02:00.230416
241205_210314_Q.json,2024-12-14 19:57:03.179167
241205_210455_Q.json,2024-12-14 19:57:03.179482
241106_205427_R.json,2024-12-14 19:59:43.707049
241106_212440_R.json,2024-12-14 19:59:43.710206
241113_212044_R.json,2024-12-14 19:59:43.720118
241117_211036_R.json,2024-12-14 19:59:43.725441
241120_204608_R.json,2024-12-14 19:59:43.728543
241120_212149_R.json,2024-12-14 19:59:43.731226
241124_203940_R.json,2024-12-14 19:59:43.733779
241106_201655_Q.json,2024-12-14 19:59:43.738604
241117_201723_Q.json,2024-12-14 19:59:43.743568
241124_192638_Q.json,2024-12-14 19:59:43.746428
241127_201817_Q.json,2024-12-14 19:59:43.748516
241201_211144_R.json,2024-12-14 19:59:43.753679
241204_205014_R.json,2024-12-14 19:59:43.755672
241204_212335_R.json,2024-12-14 19:59:43.757603
241208_211338_R.json,2024-12-14 19:59:43.761694
241211_204456_R.json,2024-12-14 19:59:43.763514
241211_211603_R.json,2024-12-14 19:59:43.764974
241204_202101_Q.json,2024-12-14 19:59:43.767131
241208_201952_Q.json,2024-12-14 19:59:43.775222
241211_201845_Q.json,2024-12-14 19:59:43.776353
